recharge_id,date,heure,user_id,numero_compteur,zone_id,region,type_compteur,montant_brut,redevance,taxe_communale,montant_net,kwh_obtenus,cumul_mois_avant,tranche_finale,economie_baisse,canal_paiement,statut
21,2026-02-13,14:04,12,SN13274113,13,Kaolack,DPP,5000,0,125.0,4875.0,59.45,50.29,1,541.59,Orange Money,succes
22,2026-02-18,16:35,12,SN13274113,13,Kaolack,DPP,5000,0,125.0,4875.0,59.45,72.09,1,541.59,Orange Money,succes
23,2026-01-26,13:06,13,SN09223802,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Wave,succes
24,2026-02-01,19:43,13,SN09223802,9,Diourbel,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Wave,succes
25,2026-01-26,09:49,14,SN18283495,18,Tambacounda,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Wave,succes
26,2026-02-01,20:00,14,SN18283495,18,Tambacounda,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Orange Money,succes
27,2026-01-26,14:56,15,SN09843134,9,Diourbel,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
28,2026-02-01,08:49,15,SN09843134,9,Diourbel,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Wave,succes
29,2026-02-04,18:36,15,SN09843134,9,Diourbel,DPP,9500,429,375.0,14196.0,112.95500000000001,18.14,2,0.0,Wave,succes
30,2026-01-26,15:37,16,SN03818140,3,Dakar,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Free Money,succes
31,2026-02-01,14:26,16,SN03818140,3,Dakar,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Wave,succes
32,2026-02-04,19:23,16,SN03818140,3,Dakar,DPP,9500,429,500.0,19071.0,112.95500000000001,16.15,2,0.0,Orange Money,succes
33,2026-02-09,16:25,16,SN03818140,3,Dakar,DPP,2000,0,50.0,1950.0,23.78,44.59,1,216.64,Orange Money,succes
34,2026-01-26,09:50,17,SN20802753,20,Matam,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Wave,succes
35,2026-02-01,20:13,17,SN20802753,20,Matam,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Wave,succes
36,2026-02-04,14:22,17,SN20802753,20,Matam,DPP,9500,429,500.0,19071.0,112.95500000000001,9.93,2,0.0,Orange Money,succes
37,2026-01-26,14:19,18,SN18976874,18,Tambacounda,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
38,2026-01-26,15:49,19,SN13451761,13,Kaolack,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
39,2026-02-01,16:29,19,SN13451761,13,Kaolack,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Wave,succes
40,2026-02-09,13:17,19,SN13451761,13,Kaolack,DPP,1000,0,25.0,975.0,11.89,62.27,1,108.32,Orange Money,succes
41,2026-02-02,10:58,19,SN13451761,13,Kaolack,DPP,9500,429,500.0,19071.0,112.95500000000001,8.65,2,0.0,Wave,succes
42,2026-02-14,08:14,19,SN13451761,13,Kaolack,DPP,3000,0,75.0,2925.0,35.67,97.88,1,324.95,Orange Money,succes
43,2026-01-26,17:12,20,SN09926443,9,Diourbel,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Wave,succes
44,2026-02-01,11:37,20,SN09926443,9,Diourbel,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Wave,succes
45,2026-01-26,15:19,21,SN15887056,15,Louga,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
46,2026-02-01,20:07,21,SN15887056,15,Louga,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
47,2026-02-04,15:58,21,SN15887056,15,Louga,DPP,9500,429,250.0,9321.0,112.95500000000001,26.17,1,1035.53,Orange Money,succes
48,2026-01-26,20:45,22,SN09295187,9,Diourbel,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
49,2026-02-01,17:29,22,SN09295187,9,Diourbel,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Wave,succes
50,2026-02-22,19:20,22,SN09295187,9,Diourbel,DPP,5000,0,125.0,4875.0,50.7,112.47,2,0.0,Orange Money,succes
51,2026-01-26,10:18,23,SN22516498,22,Kédougou,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Wave,succes
52,2026-02-01,10:50,23,SN22516498,22,Kédougou,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
53,2026-02-10,09:08,23,SN22516498,22,Kédougou,DPP,5000,0,125.0,4875.0,59.45,33.02,1,541.59,Orange Money,succes
54,2026-01-26,18:58,24,SN09637002,9,Diourbel,PPP,2000,0,50.0,1950.0,13.23,0.0,1,216.71,Wave,succes
55,2026-02-01,19:37,24,SN09637002,9,Diourbel,PPP,9500,429,500.0,19071.0,111.63,0.0,2,0.0,Free Money,succes
56,2026-01-26,15:50,25,SN09774831,9,Diourbel,PPP,2000,0,50.0,1950.0,13.23,0.0,1,216.71,Wave,succes
57,2026-01-26,09:07,26,SN02666513,2,Dakar,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Wave,succes
58,2026-01-26,19:15,27,SN11225479,11,Saint-Louis,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Free Money,succes
59,2026-01-26,08:13,28,SN19201867,19,Ziguinchor,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
60,2026-02-01,14:03,28,SN19201867,19,Ziguinchor,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
61,2026-01-26,19:17,29,SN16175787,16,Fatick,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Wave,succes
62,2026-01-26,16:03,30,SN03524938,3,Dakar,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Wave,succes
63,2026-01-26,16:11,31,SN19985722,19,Ziguinchor,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
64,2026-02-01,13:31,31,SN19985722,19,Ziguinchor,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Orange Money,succes
65,2026-01-26,18:32,32,SN08971689,8,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
66,2026-01-26,10:27,33,SN17499697,17,Kolda,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
67,2026-02-01,09:54,33,SN17499697,17,Kolda,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Orange Money,succes
68,2026-02-24,20:13,33,SN17499697,17,Kolda,DPP,2000,0,50.0,1950.0,14.29,151.62,2,0.0,Agence Senelec,succes
69,2026-01-30,14:18,33,SN17499697,17,Kolda,DPP,1000,0,25.0,975.0,11.89,22.7,1,108.32,Orange Money,succes
70,2026-02-08,10:13,33,SN17499697,17,Kolda,DPP,5000,0,125.0,4875.0,59.45,46.33,1,541.59,Orange Money,succes
71,2026-01-26,13:25,34,SN09618262,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
72,2026-01-26,12:09,35,SN04780887,4,Dakar,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
73,2026-01-26,08:57,36,SN03614372,3,Dakar,PPP,2000,0,50.0,1950.0,13.23,0.0,1,216.71,Orange Money,succes
74,2026-02-01,08:10,36,SN03614372,3,Dakar,PPP,9500,429,375.0,14196.0,85.95,0.0,2,0.0,Free Money,succes
75,2026-01-26,13:01,37,SN09818922,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
76,2026-02-01,15:42,37,SN09818922,9,Diourbel,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
77,2026-01-26,15:34,38,SN11854241,11,Saint-Louis,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
78,2026-02-01,17:44,38,SN11854241,11,Saint-Louis,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Orange Money,succes
79,2026-01-29,11:13,38,SN11854241,11,Saint-Louis,DPP,2000,0,50.0,1950.0,23.78,24.02,1,216.64,Agence Senelec,succes
80,2026-02-02,09:13,38,SN11854241,11,Saint-Louis,DPP,9500,429,500.0,19071.0,112.95500000000001,9.25,2,0.0,Orange Money,succes
81,2026-01-26,08:01,39,SN08223940,8,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Wave,succes
82,2026-02-01,14:19,39,SN08223940,8,Diourbel,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Wave,succes
83,2026-02-02,08:59,39,SN08223940,8,Diourbel,DPP,9500,429,500.0,19071.0,112.95500000000001,8.39,2,0.0,Wave,succes
84,2026-02-09,11:04,39,SN08223940,8,Diourbel,DPP,5000,0,125.0,4875.0,59.45,60.81,1,541.59,Orange Money,succes
85,2026-01-26,15:24,40,SN04361256,4,Dakar,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
86,2026-01-26,20:17,41,SN01236771,1,Dakar,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Wave,succes
87,2026-02-01,08:43,41,SN01236771,1,Dakar,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
88,2026-02-11,10:22,41,SN01236771,1,Dakar,DPP,3000,0,75.0,2925.0,35.67,43.6,1,324.95,Wave,succes
89,2026-01-26,14:51,42,SN06331998,6,Thiès,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
90,2026-01-26,15:38,43,SN03777138,3,Dakar,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
91,2026-02-01,10:20,43,SN03777138,3,Dakar,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
92,2026-01-26,08:27,44,SN08717494,8,Diourbel,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
93,2026-02-01,10:32,44,SN08717494,8,Diourbel,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Wave,succes
94,2026-02-16,11:20,44,SN08717494,8,Diourbel,DPP,3000,0,75.0,2925.0,35.67,111.5,1,324.95,Orange Money,succes
95,2026-02-12,08:15,44,SN08717494,8,Diourbel,DPP,3000,0,75.0,2925.0,35.67,78.58,1,324.95,Orange Money,succes
96,2026-01-26,08:48,45,SN04431707,4,Dakar,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
97,2026-02-01,17:50,45,SN04431707,4,Dakar,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Wave,succes
98,2026-02-24,09:18,45,SN04431707,4,Dakar,DPP,2000,0,50.0,1950.0,14.29,160.35,2,0.0,Orange Money,succes
99,2026-01-26,12:05,46,SN23976087,23,Sédhiou,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
100,2026-02-01,15:24,46,SN23976087,23,Sédhiou,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
101,2026-02-21,10:16,46,SN23976087,23,Sédhiou,DPP,3000,0,75.0,2925.0,35.67,63.26,1,324.95,Wave,succes
102,2026-02-19,12:40,46,SN23976087,23,Sédhiou,DPP,2000,0,50.0,1950.0,23.78,57.66,1,216.64,Orange Money,succes
103,2026-01-26,18:05,47,SN03814221,3,Dakar,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
104,2026-02-01,20:10,47,SN03814221,3,Dakar,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Orange Money,succes
105,2026-01-26,13:38,48,SN09964272,9,Diourbel,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
106,2026-02-01,14:28,48,SN09964272,9,Diourbel,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Orange Money,succes
107,2026-02-22,14:39,48,SN09964272,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,134.5,1,108.32,Orange Money,succes
108,2026-01-26,14:38,49,SN02522878,2,Dakar,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Free Money,succes
109,2026-01-26,20:25,50,SN13177569,13,Kaolack,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
110,2026-02-01,20:36,50,SN13177569,13,Kaolack,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Wave,succes
111,2026-01-26,16:33,51,SN19263603,19,Ziguinchor,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
112,2026-02-01,11:08,51,SN19263603,19,Ziguinchor,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Orange Money,succes
113,2026-01-26,20:28,52,SN04677219,4,Dakar,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
114,2026-02-01,11:21,52,SN04677219,4,Dakar,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Orange Money,succes
115,2026-01-29,12:31,52,SN04677219,4,Dakar,DPP,2000,0,50.0,1950.0,23.78,19.56,1,216.64,Orange Money,succes
116,2026-02-11,08:00,52,SN04677219,4,Dakar,DPP,1000,0,25.0,975.0,11.89,72.22,1,108.32,Orange Money,succes
117,2026-01-27,17:45,52,SN04677219,4,Dakar,DPP,3000,0,75.0,2925.0,35.67,7.52,1,324.95,Wave,succes
118,2026-02-02,09:59,52,SN04677219,4,Dakar,DPP,9500,429,375.0,14196.0,112.95500000000001,8.2,2,0.0,Orange Money,succes
119,2026-01-26,11:03,53,SN09369776,9,Diourbel,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
120,2026-01-26,11:15,54,SN06684597,6,Thiès,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Free Money,succes
121,2026-02-01,15:03,54,SN06684597,6,Thiès,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Orange Money,succes
122,2026-01-26,09:55,55,SN09810981,9,Diourbel,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Wave,succes
123,2026-02-01,18:32,55,SN09810981,9,Diourbel,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Free Money,succes
124,2026-01-26,16:13,56,SN03201736,3,Dakar,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Wave,succes
125,2026-02-01,19:24,56,SN03201736,3,Dakar,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
126,2026-01-26,13:16,57,SN01711191,1,Dakar,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Wave,succes
127,2026-02-01,18:15,57,SN01711191,1,Dakar,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
128,2026-02-05,13:44,57,SN01711191,1,Dakar,DPP,5000,429,125.0,4446.0,54.22,20.81,1,493.94,Agence Senelec,succes
129,2026-01-26,14:17,58,SN19530176,19,Ziguinchor,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Wave,succes
130,2026-01-26,08:44,59,SN10118502,10,Diourbel,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
131,2026-02-01,08:33,59,SN10118502,10,Diourbel,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Orange Money,succes
132,2026-02-02,18:09,59,SN10118502,10,Diourbel,DPP,9500,429,250.0,9321.0,112.95500000000001,4.52,1,1035.53,Orange Money,succes
133,2026-01-26,16:59,60,SN09873527,9,Diourbel,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
134,2026-02-01,08:10,60,SN09873527,9,Diourbel,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Wave,succes
135,2026-01-26,17:28,61,SN09875092,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
136,2026-02-01,10:28,61,SN09875092,9,Diourbel,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
137,2026-02-22,20:03,61,SN09875092,9,Diourbel,DPP,2000,0,50.0,1950.0,23.78,100.56,1,216.64,Orange Money,succes
138,2026-02-23,15:01,61,SN09875092,9,Diourbel,DPP,3000,0,75.0,2925.0,35.67,106.13,1,324.95,Orange Money,succes
139,2026-02-14,18:39,61,SN09875092,9,Diourbel,DPP,5000,0,125.0,4875.0,59.45,62.09,1,541.59,Orange Money,succes
140,2026-01-26,14:38,62,SN11894783,11,Saint-Louis,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
141,2026-01-26,10:45,63,SN02276114,2,Dakar,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
142,2026-01-26,18:56,64,SN15841895,15,Louga,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Wave,succes
143,2026-01-26,08:53,65,SN13104870,13,Kaolack,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Wave,succes
144,2026-01-26,11:29,66,SN09735200,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Wave,succes
145,2026-01-26,12:40,67,SN09142086,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Wave,succes
146,2026-02-01,08:59,67,SN09142086,9,Diourbel,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Free Money,succes
147,2026-01-26,20:32,68,SN01620164,1,Dakar,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
148,2026-01-26,11:13,69,SN09123897,9,Diourbel,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
149,2026-02-01,09:13,69,SN09123897,9,Diourbel,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Orange Money,succes
150,2026-02-23,15:41,69,SN09123897,9,Diourbel,DPP,3000,0,75.0,2925.0,23.62,144.52,2,0.0,Orange Money,succes
151,2026-01-26,11:19,70,SN09672891,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
152,2026-02-01,15:29,70,SN09672891,9,Diourbel,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Orange Money,succes
153,2026-01-26,15:14,71,SN02706896,2,Dakar,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
154,2026-02-01,09:50,71,SN02706896,2,Dakar,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Orange Money,succes
155,2026-02-09,09:17,71,SN02706896,2,Dakar,DPP,1000,0,25.0,975.0,11.89,59.6,1,108.32,Orange Money,succes
156,2026-01-26,20:58,72,SN22404148,22,Kédougou,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
157,2026-02-01,15:04,72,SN22404148,22,Kédougou,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Wave,succes
158,2026-01-26,09:22,73,SN05725526,5,Thiès,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
159,2026-02-01,14:30,73,SN05725526,5,Thiès,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
160,2026-01-28,19:59,73,SN05725526,5,Thiès,DPP,5000,0,125.0,4875.0,59.45,14.78,1,541.59,Wave,succes
161,2026-02-08,11:33,73,SN05725526,5,Thiès,DPP,2000,0,50.0,1950.0,23.78,57.58,1,216.64,Orange Money,succes
162,2026-01-26,15:47,74,SN08680131,8,Diourbel,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Wave,succes
163,2026-01-26,16:05,75,SN06345283,6,Thiès,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Free Money,succes
164,2026-02-01,12:20,75,SN06345283,6,Thiès,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Free Money,succes
165,2026-01-26,18:32,76,SN09256728,9,Diourbel,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
166,2026-01-26,19:25,77,SN09293874,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
167,2026-02-01,08:27,77,SN09293874,9,Diourbel,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
168,2026-01-26,14:24,78,SN09923869,9,Diourbel,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
169,2026-02-01,19:17,78,SN09923869,9,Diourbel,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
170,2026-01-26,16:48,79,SN09880499,9,Diourbel,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
171,2026-01-26,19:56,80,SN09472448,9,Diourbel,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
172,2026-01-26,09:06,81,SN09313009,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
173,2026-02-01,17:06,81,SN09313009,9,Diourbel,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Wave,succes
174,2026-02-04,13:59,81,SN09313009,9,Diourbel,DPP,5000,429,125.0,4446.0,54.22,14.77,1,493.94,Orange Money,succes
175,2026-01-31,14:09,81,SN09313009,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,23.79,1,108.32,Wave,succes
176,2026-01-26,20:52,82,SN05794555,5,Thiès,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
177,2026-02-01,12:10,82,SN05794555,5,Thiès,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Orange Money,succes
178,2026-01-26,15:37,83,SN15309638,15,Louga,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Wave,succes
179,2026-01-26,12:34,84,SN09293866,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
180,2026-02-01,09:25,84,SN09293866,9,Diourbel,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
181,2026-02-21,13:50,84,SN09293866,9,Diourbel,DPP,5000,0,125.0,4875.0,45.15,126.37,2,0.0,Wave,succes
182,2026-01-26,19:18,85,SN05331631,5,Thiès,DPP,2000,0,50.0,1950.0,23.78,0.0,1,216.64,Orange Money,succes
183,2026-02-01,08:38,85,SN05331631,5,Thiès,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
184,2026-02-15,18:03,85,SN05331631,5,Thiès,DPP,5000,0,125.0,4875.0,59.45,74.88,1,541.59,Orange Money,succes
185,2026-01-26,18:56,86,SN18400369,18,Tambacounda,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Wave,succes
186,2026-02-01,13:57,86,SN18400369,18,Tambacounda,DPP,9500,429,250.0,9321.0,112.95500000000001,0.0,1,1035.53,Wave,succes
187,2026-01-26,19:28,87,SN03321827,3,Dakar,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Wave,succes
188,2026-01-26,17:29,88,SN03813987,3,Dakar,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Agence Senelec,succes
189,2026-01-26,10:11,89,SN10530736,10,Diourbel,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
190,2026-02-01,20:01,89,SN10530736,10,Diourbel,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
191,2026-02-11,16:38,89,SN10530736,10,Diourbel,DPP,5000,0,125.0,4875.0,59.45,36.1,1,541.59,Orange Money,succes
192,2026-01-26,19:32,90,SN11800710,11,Saint-Louis,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Free Money,succes
193,2026-01-26,10:05,91,SN09492952,9,Diourbel,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
194,2026-02-01,08:44,91,SN09492952,9,Diourbel,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
195,2026-02-02,17:11,91,SN09492952,9,Diourbel,DPP,5000,429,125.0,4446.0,54.22,9.31,1,493.94,Orange Money,succes
196,2026-02-11,20:03,91,SN09492952,9,Diourbel,DPP,1000,0,25.0,975.0,11.89,81.26,1,108.32,Orange Money,succes
